pointer, money, price, salary, sales, production, storage, workers, labor_capacity, plan, profit, time
0597C998, 14443.7, 4.39239, 8, 200, 40, 355.208, 8, 8, 36.882, 136, 101
0597C998, 14579.7, 5.31479, 5.81818, 200, 55, 372.58, 11, 11, 50.0866, 136, 102
0597C998, 14715.7, 4.30498, 8, 200, 40, 366.12, 8, 8, 37.6309, 136, 103
0597C998, 14851.7, 5.20902, 5.81818, 200, 55, 382.723, 11, 11, 51.1035, 136, 104
0597C998, 14987.7, 4.21931, 8, 200, 40, 375.323, 8, 8, 38.3949, 136, 105
0597C998, 15123.7, 5.10536, 5.81818, 200, 55, 391.151, 11, 11, 52.1413, 136, 106
0597C998, 15259.7, 4.13534, 8, 200, 40, 382.786, 8, 8, 39.1746, 136, 107
0597C998, 15395.7, 5.00377, 5.81818, 200, 55, 397.815, 11, 11, 53.1999, 136, 108
0597C998, 15531.7, 4.05305, 8, 200, 40, 388.468, 8, 8, 39.9699, 136, 109
0597C998, 15667.7, 4.90419, 5.81818, 200, 55, 402.684, 11, 11, 54.28, 136, 110
0597C998, 15803.7, 3.97239, 7.11111, 200, 45, 397.336, 9, 9, 40.7814, 136, 111
0597C998, 15939.7, 4.8066, 5.33333, 200, 60, 415.728, 12, 12, 55.3821, 136, 112
0597C998, 16075.7, 3.89334, 7.11111, 200, 45, 409.361, 9, 9, 41.6094, 136, 113
0597C998, 16211.7, 4.71095, 5.33333, 200, 60, 426.905, 12, 12, 56.5066, 136, 114
0597C998, 16347.7, 3.81587, 7.11111, 200, 45, 419.494, 9, 9, 42.4543, 136, 115
0597C998, 16483.7, 4.6172, 5.33333, 200, 60, 436.178, 12, 12, 57.6539, 136, 116
0597C998, 16619.7, 3.73993, 7.11111, 200, 45, 427.699, 9, 9, 43.3164, 136, 117
0597C998, 16755.7, 4.52532, 5.33333, 200, 60, 443.503, 12, 12, 58.8246, 136, 118
0597C998, 16891.7, 3.66551, 7.11111, 200, 45, 433.938, 9, 9, 44.1958, 136, 119
0597C998, 17027.7, 4.43526, 4.92308, 200, 65, 453.845, 13, 13, 60.0189, 136, 120
0597C998, 17163.7, 3.59256, 6.4, 200, 50, 448.175, 10, 10, 45.093, 136, 121
0597C998, 17299.7, 4.347, 4.92308, 200, 65, 467.166, 13, 13, 61.2378, 136, 122
0597C998, 17435.7, 3.52107, 6.4, 200, 50, 460.367, 10, 10, 46.0088, 136, 123
0597C998, 17571.7, 4.2605, 4.92308, 200, 65, 478.423, 13, 13, 62.4809, 136, 124
0597C998, 17707.7, 3.451, 6.4, 200, 50, 470.469, 10, 10, 46.9429, 136, 125
0597C998, 17843.7, 4.17571, 4.92308, 200, 65, 487.571, 13, 13, 63.7497, 136, 126
0597C998, 17979.7, 3.38233, 6.4, 200, 50, 478.441, 10, 10, 47.896, 136, 127
0597C998, 18115.7, 4.09261, 4.57143, 200, 70, 499.574, 14, 14, 65.044, 136, 128
0597C998, 18251.7, 3.31502, 6.4, 200, 50, 489.245, 10, 10, 48.8686, 136, 129
0597C998, 18387.7, 4.01117, 4.57143, 200, 70, 509.379, 14, 14, 66.3647, 136, 130
0597C998, 18523.7, 3.24905, 6.4, 200, 50, 497.821, 10, 10, 49.8606, 136, 131
0597C998, 18659.7, 3.93135, 4.57143, 200, 70, 516.942, 14, 14, 67.712, 136, 132
0597C998, 18795.7, 3.18439, 5.81818, 200, 55, 509.137, 11, 11, 50.873, 136, 133
0597C998, 18931.7, 3.85312, 4.57143, 200, 70, 527.232, 14, 14, 69.0872, 136, 134
0597C998, 19067.7, 3.12102, 5.81818, 200, 55, 518.146, 11, 11, 51.906, 136, 135
0597C998, 19203.7, 3.77644, 4.26667, 200, 75, 540.191, 15, 15, 70.4897, 136, 136
0597C998, 19339.7, 3.05891, 5.81818, 200, 55, 529.811, 11, 11, 52.96, 136, 137
0597C998, 19475.7, 3.70129, 4.26667, 200, 75, 550.77, 15, 15, 71.9208, 136, 138
0597C998, 19611.7, 2.99804, 5.81818, 200, 55, 539.059, 11, 11, 54.0352, 136, 139
0597C998, 19747.7, 3.62763, 4.26667, 200, 75, 558.932, 15, 15, 73.3811, 136, 140
0597C998, 19883.7, 2.93838, 5.33333, 200, 60, 550.865, 12, 12, 55.1323, 136, 141
0597C998, 20019.7, 3.55544, 4.26667, 200, 75, 569.615, 15, 15, 74.8713, 136, 142
